title,price,area,price_per_sqft,locality,city,property_type,bedroom_num,bathroom_num,balcony_num,furnished,age,total_floors,latitude,longitude
Adityaraj Landmark,15500000,774,20025.839793281655,Vikhroli,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.11235237,72.93083954
 ,19800000,950,20842.105263157893,Goregaon,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.16102791,72.84053802
Today Saubhagyam Phase II,4150000,650,6384.615384615385,Panvel,Mumbai,Apartment,1,1,0,Unfurnished,0,1,18.94493675,73.13698578
Square Shree Udyan,71300000,1400,50928.57142857143,Mahim,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.03028679,72.8395462
Om Unnati,1950000,425,4588.235294117647,Taloja,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.07120705,73.097229
 ,9200000,1200,7666.666666666667,Ulwe,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,18.97817993,73.03097534
 ,6500000,555,11711.711711711712,Kasaradavali Thane,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.26475143,72.96831512
Bhoomi Simana Wing A Phase 1,53000000,1350,39259.25925925926,Parel,Mumbai,Apartment,3,3,0,Semi-Furnished,0,1,18.99879456,72.84338379
JP North,9900000,1020,9705.882352941177,Mira Road,Mumbai,Apartment,2,2,0,Unfurnished,4,1,19.28219795,72.88488007
JP North,6800000,850,8000.0,Mira Road,Mumbai,Apartment,1,2,0,Unfurnished,4,1,19.28219795,72.88488007
 ,8500000,595,14285.714285714286,Dahisar,Mumbai,Apartment,1,2,0,Semi-Furnished,0,1,19.26285553,72.86623383
Nrose Northern Hills,29400000,1252,23482.428115015973,Dahisar,Mumbai,Apartment,3,2,0,Semi-Furnished,0,1,19.24886703,72.86382294
 ,11500000,890,12921.348314606741,Dahisar,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.25222778,72.86793518
 ,13500000,1850,7297.2972972972975,Kharghar,Mumbai,Apartment,3,3,0,Semi-Furnished,0,1,19.06980515,73.07961273
 ,28500000,1100,25909.090909090908,Dahisar,Mumbai,Apartment,3,3,0,Furnished,0,1,19.25222778,72.86793518
Hiral Hiral Splendour,13000000,850,15294.117647058823,Dahisar,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.25833702,72.87429047
 ,19500000,850,22941.176470588234,Dahisar,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.25222778,72.86793518
Raj Rudraksha,14000000,809,17305.3152039555,Dahisar,Mumbai,Apartment,2,2,0,Furnished,2,1,19.25134277,72.87204742
 ,33300000,1180,28220.338983050846,Chembur,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.04581451,72.89766693
 ,33300000,1180,28220.338983050846,Chembur,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.04581451,72.89766693
Arihant Clan Aalishan Phase II,11800000,1800,6555.555555555556,Kharghar,Mumbai,Apartment,3,3,0,Semi-Furnished,0,1,19.08200455,73.0825119
Om Sai Enterprises Paradise,13900000,1480,9391.891891891892,Dombivali,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.23362923,73.08470154
Om Sai Enterprises Paradise,7700000,880,8750.0,Dombivali,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.23362923,73.08470154
Paradise Sai World Dreams,4900000,580,8448.275862068966,Dombivali,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.18523216,73.09324646
Reza Grandeur,14000000,1415,9893.992932862191,Kharghar,Mumbai,Apartment,3,3,0,Unfurnished,8,1,19.07340813,73.07310486
A And A Sheetal Kiara,14500000,666,21771.77177177177,Goregaon,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.16594887,72.84719849
Shreeji Urban BKC Crown,16000000,757,21136.063408190224,Kurla,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.07312965,72.88269043
Rudra Mahadev,3800000,710,5352.112676056338,Ulwe,Mumbai,Apartment,1,2,0,Unfurnished,0,1,18.96816063,73.028862
Sanket Solitaire Aawas,21000000,920,22826.08695652174,Chembur,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.07096291,72.89916992
Triveni Crown,7200000,863,8342.989571263035,Kalyan,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.25064278,73.1188736
Triveni Crown,5300000,646,8204.334365325078,Kalyan,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.25064278,73.1188736
SBM Sky,11600000,620,18709.677419354837,Thane,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.21158218,72.9604187
SBM Sky,10000000,620,16129.032258064517,Thane,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.21158218,72.9604187
